Time (s),Temperature (C),Relative Humidity (%)
924.6162550449371,22.3,99.0
926.6436269283295,22.3,99.0
928.6750960350037,22.3,99.0
930.7025232315063,22.3,99.0
932.7298638820648,22.3,99.0
934.7612709999084,22.3,99.0
936.7885711193085,22.3,99.0
938.8160560131073,22.3,99.0
940.8476169109344,22.3,99.0
942.8749670982361,22.3,99.0
944.9063789844513,22.3,99.0
946.9337179660797,22.3,99.0
948.9612758159637,22.3,99.0
950.9925308227539,22.3,99.0
953.019917011261,22.3,99.0
955.0473799705505,22.3,99.0
957.0790038108826,22.3,99.0
959.1062178611755,22.3,99.0
961.1336388587952,22.3,99.0
963.1649420261383,22.3,99.0
965.1925230026245,22.3,99.0
967.2199261188507,22.2,99.0
969.2513511180878,22.2,99.0
971.2787058353424,22.2,99.0
973.3099892139435,22.2,99.0
975.3375160694122,22.2,99.0
977.364935874939,22.2,99.0
979.3962860107422,22.2,99.0
981.4237098693848,22.2,99.0
983.451103925705,22.2,99.0
985.4825029373169,22.2,99.0
987.5100688934326,22.2,99.0
989.5374050140381,22.2,99.0
991.568776845932,22.2,99.0
993.5961821079254,22.2,99.0
995.6236081123352,22.2,99.0
997.655072927475,22.2,99.0
999.682492017746,22.2,99.0
1001.7099211215973,22.2,99.0
1003.7412438392639,22.2,99.0
1005.768805027008,22.2,99.0
1007.8001458644867,22.2,99.0
1009.8275430202484,22.2,99.0
1011.8549501895905,22.2,99.0
1013.8863010406494,22.2,99.0
1015.9136738777161,22.2,99.0
1017.9411430358887,22.1,99.0
1019.9725399017334,22.1,99.0
1021.9997711181641,22.1,99.0
1024.0273201465607,22.1,99.0
1026.0587351322174,22.1,99.0
1028.0859730243683,22.1,99.0
1030.1135139465332,22.1,99.0
1032.1448168754578,22.1,99.0
1034.1722960472107,22.1,99.0
1036.1996719837189,22.1,99.0
1038.231120109558,22.1,99.0
1040.2584960460663,22.1,99.0
1042.2859539985657,22.1,99.0
1044.3174090385437,22.1,99.0
1046.3446221351624,22.1,99.0
1048.3720891475677,22.1,99.0
1050.403538942337,22.1,99.0
1052.430939912796,22.1,99.0
1054.4583139419556,22.1,99.0
1056.4897768497467,22.1,99.0
1058.5172522068024,22.1,99.0
1060.548574924469,22.1,99.0
1062.576110124588,22.1,99.0
1064.6033821105957,22.1,99.0
1066.6348640918732,22.1,99.0
1068.662192106247,22.1,99.0
1070.68967294693,22.1,99.0
1072.7210700511932,22.1,99.0
1074.7485711574554,22.1,99.0
1076.775927066803,22.1,99.0
1078.8073210716248,22.1,99.0
1080.8346621990204,22.1,99.0
1082.8620920181274,22.1,99.0
1084.893501996994,22.1,99.0
1086.9209458827972,22.1,99.0
1088.9483098983765,22.1,99.0
1090.9797089099884,22.1,99.0
1093.007061958313,22.1,99.0
1095.034600019455,22.1,99.0
1097.0660140514374,22.1,99.0
1099.0934789180756,22.1,99.0
1101.1207749843597,22.1,99.0
1103.1521611213684,22.1,99.0
1105.1796112060547,22.1,99.0
1107.2070679664612,22.1,99.0
1109.2383060455322,22.1,99.0
1111.2658128738403,22.1,99.0
1113.293100118637,22.1,99.0
1115.3246841430664,22.1,99.0
1117.352128982544,22.1,99.0
1119.3794310092926,22.1,99.0
1121.4109270572662,22.1,99.0
1123.4383108615875,22.1,99.0
1125.4656970500946,22.1,99.0
1127.4971508979797,22.1,99.0
1129.5244028568268,22.1,99.0
1131.5559430122375,22.1,99.0
1133.583302974701,22.1,99.0
1135.610722064972,22.1,99.0
1137.6421818733215,22.1,99.0
1139.6696581840515,22.1,99.0
1141.6970970630646,22.1,99.0
1143.7284100055695,22.1,99.0
1145.7557640075684,22.1,99.0
1147.7831637859344,22.1,99.0
1149.8146080970764,22.1,99.0
1151.8418791294098,22.1,99.0
1153.86940908432,22.1,99.0
1155.9007120132446,22.1,99.0
1157.9282701015472,22.1,99.0
1159.955500125885,22.1,99.0
1161.987163066864,22.1,99.0
1164.0146009922028,22.1,99.0
1166.0419209003448,22.1,99.0
1168.0732090473175,22.1,99.0
1170.1007318496704,22.1,99.0
1172.1280272006989,22.1,99.0
1174.1594669818878,22.1,99.0
1176.1869230270386,22.0,99.0
1178.2144050598145,22.0,99.0
1180.2458019256592,22.0,99.0
1182.2731828689575,22.0,99.0
1184.300607919693,22.0,99.0
1186.3319108486176,22.0,99.0
1188.359442949295,22.0,99.0
1190.3869559764862,22.0,99.0
1192.4182698726654,22.0,99.0
1194.4456901550293,22.0,99.0
1196.4729018211365,22.0,99.0
1198.504422903061,22.0,99.0
1200.531771183014,22.0,99.0
1202.5591869354248,22.0,99.0
1204.5905530452728,22.0,99.0
1206.6180620193481,22.0,99.0
1208.6453959941864,22.0,99.0
1210.6767840385437,22.0,99.0
1212.7041900157928,22.0,99.0
1214.7316150665283,22.0,99.0
1216.7631061077118,22.0,99.0
1218.7905988693237,22.0,99.0
1220.8178420066833,22.0,99.0
1222.8492360115051,22.0,99.0
1224.8768661022186,22.0,99.0
1226.9042611122131,22.0,99.0
1228.9355640411377,22.0,99.0
1230.9628689289093,22.0,99.0
1232.9903070926666,22.0,99.0
1235.017659187317,22.0,99.0
1237.0492100715637,22.0,99.0
1239.076591014862,22.0,99.0
1241.1040499210358,22.0,99.0
1243.1355209350586,22.0,99.0
1245.1629030704498,22.0,99.0
1247.1902940273285,22.0,99.0
1249.2216229438782,22.0,99.0
1251.249011039734,22.0,99.0
1253.2764270305634,22.0,99.0
1255.3078880310059,22.0,99.0
1257.3352489471436,22.0,99.0
1259.3626010417938,22.0,99.0
1261.3940291404724,22.0,99.0
1263.4214541912079,22.0,99.0
1265.4487919807434,22.0,99.0
1267.4802181720734,22.0,99.0
1269.5078229904175,22.0,99.0
1271.5350320339203,22.0,99.0
1273.565689086914,22.0,99.0
